연도,계약명,수행용역
2009,아산신도시,CFD
2009,김포한강 신도 A,기술제안
2009,여수세계박람회 아쿠아리움 BTO,기술제안
2009,압해 암태 (2,CFD
2009,은평뉴타운 2-B공구,건축물 에너지효율등급
2009,은평뉴타운 2-B공구,친환경건축물 인증
2009,은평뉴타운 2지,친환경건축물 인증
2009,은평뉴타운 2지,건축물 에너지효율등급
2009,열환경 수지,연구용역
2009,아산영인-평택청북(2) 도로,기술제안
2009,서울 숲 1 B,건축물 에너지효율등급
2009,서울 숲 1 B,친환경건축물 인증
2009,약목중학교,친환경건축물 인증
2009,SBLS 미디어,친환경건축물 인증
2009,영산강살리기 6공 (서창) 하천정비,기술제안
2009,식사지 초등,친환경건축물 인증
2009,울산 인재육성지원,친환경건축물 인증
2009,고양 삼송지 A-22블럭 공동,주택 성능등급인정
2009,고양 삼송지 A-21 공동,주택 성능등급인정
2009,광교신도 B-5,주택 성능등급인정
2009,광교신도 A-2블럭,주택 성능등급인정
2009,광교신도 A-2블럭,건축물 에너지효율등급
2009,수원 이목동 공동,주택 성능등급인정
2009,파주 운정택지개발지 A16-블럭 공동,"일조, 조망"
2009,파주 봉일천리 효성,주택 성능등급인정
2009,남양주 별내 A-19BL중,소음예측
2009,남양주 별내 A-19BL중,주택 성능등급인정
2009,Gl o,친환경건축물 인증
2009,김포한강신도 ABL-03 BBL공동,소음예측
2009,초장초 외 1교 임대형 민자,기술제안
2009,여수엑스포타운 공동,건축물 에너지효율등급
2009,여수엑스포타운 공동,기술제안
2009,여수엑스포타운 공동,주택 성능등급인정
2011,여수엑스포타운 공동,소음예측
2009,중실버타운,친환경건축물 인증
2009,광교지 A-22블럭 공동,소음예측
2009,BEXCO 설확충,기술제안
2009,전북대,기술제안
2009,휴먼빌,CFD
2008,일조 조망환경,"일조, 조망"
2009,통영국제음악당 TK 기술제안,기술제안
2009,송도 국제화 복합,"일조, 조망"
2009,송도 국제화 복합,주택 성능등급인정
2009,송도 국제화 복합,건축물 에너지효율등급
2009,청천 2 역,건축물 에너지효율등급
2009,청천 2 역,친환경건축물 인증
2009,여수EXPO 국가관,기술제안
2009,수변도 비전 아이디어 공모,기술제안
2009,김포 한강신도 Aa-07블럭 공동,주택 성능등급인정
2009,고양 삼송지 A-9블럭 공동,주택 성능등급인정
2009,청주 성화지 C1-블럭 공동,주택 성능등급인정
2009,"""건축물 환경부하",연구용역
2009,김포한강신도 ABL-05블럭,기술제안
2009,상주~영덕 고속도로,기술제안
2009,낙동강하 둑 배수문 증설,기술제안
2009,판교테크노밸리 글로벌 R&D,기술제안
2009,광주과학기술원 학사과정 신재생,기술제안
2009,광주과학기술원 학사과정 신재생,친환경건축물 인증
2009,방배동 역세권장기전세,"일조, 조망"
2009,계명대,"LEED, BREEAM, GSAS"
2009,인천 당하동,주택 성능등급인정
2009,국립청소년수련원(영덕·김제),기술제안
2009,화랑역세권 복합,기술제안
2009,이의1초외 3교 임대형 민자,기술제안
2009,인천영종지 A4-A6-공동,주택 성능등급인정
2009,고양 국제고등,친환경건축물 인증
2010,고양 국제고등,친환경건축물 인증
2009,대전 무역회관,친환경건축물 인증
2013,하남미사지 A18-A19-공동,건축물 에너지효율등급
2013,하남미사지 A18-A19-공동,주택 성능등급인정
2010,남양주 별내 16-1 B,주택 성능등급인정
2012,영종도 도서관 현상지원 ( 두),기술제안
2010,판교 산운 아펠바움,"일조, 조망"
2010,판교 산운 아펠바움,CFD
2010,판교 산운 아펠바움,친환경건축물 인증
2010,동작 상도동,"일조, 조망"
2010,설미초 외 3교 임대형 민자,기술제안
2010,분당서울대병원 증축,기술제안
2010,영산강 하 둑 구조개선,기술제안
2010,이문3재정비촉진 역,소음예측
2010,이문3재정비촉진 역,소음실측
2010,이문3재정비촉진 역,건축물 에너지효율등급
2010,이문3재정비촉진 역,친환경건축물 인증
2010,이문3재정비촉진 역,주택 성능등급인정
2011,이문3재정비촉진 역,교육환경
2011,이문3재정비촉진 역,"일조, 조망"
2011,이문3재정비촉진 역,서울시에너지소비총량제 (BESS)
2011,이문3재정비촉진 역,"청정건강기준, 공동주택 성능등급"
2010,계양 1 역,건축물 에너지효율등급
2010,계양 1 역,친환경건축물 인증
2010,계양 1 역,주택 성능등급인정
2010,광교 집단 설 기술제안,친환경건축물 인증
2010,CDC Camp Casey & Camp W a,"LEED, BREEAM, GSAS"
2010,서울 숲 글로벌 비즈니스,기술제안
2010,향남 지웰 2,친환경건축물 인증
2010,잠실 제2롯데월드 중,녹색건축 인증
2010,잠실 제2롯데월드 중,"에너지 시뮬레이션, 기계설비 성능점검"
2010,잠실 제2롯데월드 중,친환경건축물 인증
2011,광주 태전4지 C- 3,소음예측
2011,광주 태전4지 C- 3,"일조, 조망"
2011,광주 태전4지 C- 3,친환경건축물 인증
2011,광주 태전4지 C- 3,주택 성능등급인정
2010,수원 이목동 공동,주택 성능등급인정
2010,인천청라지 17,건축물 에너지효율등급
2010,서울 동남권 물류,기술제안
2010,청주 율량지 B1-블록 공동,소음예측
2010,청주 율량지 B1-블록 공동,주택 성능등급인정
2010,파주당동 5-26블럭,건축물 에너지효율등급
2010,파주당동 5-26블럭,친환경건축물 인증
2010,평택미 가족,"LEED, BREEAM, GSAS"
2010,공동주택 일조환경,연구용역
2010,(LEED GBLCC )/,연구용역
2010,대 테크노폴리스 진입도로 개설,기술제안
2010,도림 제16 역,소음예측
2010,도림 제16 역,소음실측
2010,도림 제16 역,건축물 에너지효율등급
2010,도림 제16 역,친환경건축물 인증
2010,고읍1초 외 5교 임대형 민자,기술제안
2010,호남고속철도 차량기지 기술제안,기술제안
2010,일조·조망환경 환경,"일조, 조망"
